"date","new_cases","location"
"27-01-2020",0,"India"
"28-01-2020",0,"India"
"29-01-2020",0,"India"
"30-01-2020",1,"India"
"31-01-2020",4,"India"
"02-01-2020",0,"India"
"01-03-2020",0,"India"
"01-04-2020",0,"India"
"01-05-2020",0,"India"
"01-06-2020",0,"India"
"01-07-2020",0,"India"
"01-08-2020",0,"India"
"01-09-2020",0,"India"
"01-10-2020",0,"India"
"01-11-2020",0,"India"
"01-12-2020",0,"India"
"13-01-2020",0,"India"
"14-01-2020",0,"India"
"15-01-2020",0,"India"
"16-01-2020",0,"India"
"17-01-2020",0,"India"
"18-01-2020",0,"India"
"19-01-2020",0,"India"
"20-01-2020",0,"India"
"21-01-2020",0,"India"
"22-01-2020",0,"India"
"23-01-2020",0,"India"
"24-01-2020",0,"India"
"25-01-2020",0,"India"
"26-01-2020",0,"India"
"02-02-2020",NULL,"India"
"02-03-2020",1,"India"
"02-04-2020",4,"India"
"02-05-2020",0,"India"
"02-06-2020",0,"India"
"02-07-2020",0,"India"
"02-08-2020",0,"India"
"02-09-2020",0,"India"
"02-10-2020",0,"India"
"02-11-2020",0,"India"
"02-12-2020",0,"India"
"13-02-2020",0,"India"
"14-02-2020",0,"India"
"15-02-2020",0,"India"
"16-02-2020",0,"India"
"17-02-2020",0,"India"
"18-02-2020",0,"India"
"19-02-2020",0,"India"
"20-02-2020",0,"India"
"21-02-2020",0,"India"
"22-02-2020",0,"India"
"23-02-2020",0,"India"
"24-02-2020",0,"India"
"25-02-2020",0,"India"
"26-02-2020",0,"India"
"27-02-2020",0,"India"
"28-02-2020",0,"India"
"29-02-2020",0,"India"
"03-01-2020",0,"India"
"03-02-2020",NULL,"India"
"03-03-2020",4,"India"
"03-04-2020",19,"India"
"03-05-2020",1,"India"
"03-06-2020",2,"India"
"03-07-2020",3,"India"
"03-08-2020",5,"India"
"03-09-2020",5,"India"
"03-10-2020",6,"India"
"03-11-2020",10,"India"
"03-12-2020",13,"India"
"13-03-2020",8,"India"
"14-03-2020",3,"India"
"15-03-2020",23,"India"
"16-03-2020",7,"India"
"17-03-2020",23,"India"
"18-03-2020",14,"India"
"19-03-2020",22,"India"
"20-03-2020",50,"India"
"21-03-2020",60,"India"
"22-03-2020",77,"India"
"23-03-2020",74,"India"
"24-03-2020",85,"India"
"25-03-2020",87,"India"
"26-03-2020",43,"India"
"27-03-2020",75,"India"
"28-03-2020",185,"India"
"29-03-2020",70,"India"
"30-03-2020",92,"India"
"31-03-2020",180,"India"
"04-01-2020",386,"India"
"04-02-2020",328,"India"
"04-03-2020",336,"India"
"04-04-2020",601,"India"
"04-05-2020",472,"India"
"04-06-2020",693,"India"
"04-07-2020",354,"India"
"04-08-2020",853,"India"
"04-09-2020",591,"India"
"04-10-2020",547,"India"
"04-11-2020",1035,"India"
"04-12-2020",909,"India"
"13-04-2020",796,"India"
"14-04-2020",1211,"India"
"15-04-2020",1076,"India"
"16-04-2020",941,"India"
"17-04-2020",1007,"India"
"18-04-2020",991,"India"
"19-04-2020",1334,"India"
"20-04-2020",1553,"India"
"21-04-2020",1336,"India"
"22-04-2020",1383,"India"
"23-04-2020",1409,"India"
"24-04-2020",1684,"India"
"25-04-2020",1429,"India"
"26-04-2020",1990,"India"
"27-04-2020",1396,"India"
"28-04-2020",1543,"India"
"29-04-2020",1897,"India"
"30-04-2020",1718,"India"
"05-01-2020",1993,"India"
"05-02-2020",2293,"India"
"05-03-2020",2644,"India"
"05-04-2020",2553,"India"
"05-05-2020",3900,"India"
"05-06-2020",2958,"India"
"05-07-2020",3561,"India"
"05-08-2020",3390,"India"
"05-09-2020",3320,"India"
"05-10-2020",3277,"India"
"05-11-2020",4213,"India"
"05-12-2020",3604,"India"
"13-05-2020",3525,"India"
"14-05-2020",3722,"India"
"15-05-2020",3967,"India"
"16-05-2020",3970,"India"
"17-05-2020",4987,"India"
"18-05-2020",5242,"India"
"19-05-2020",4970,"India"
"20-05-2020",5611,"India"
"21-05-2020",5609,"India"
"22-05-2020",6088,"India"
"23-05-2020",6654,"India"
"24-05-2020",6767,"India"
"25-05-2020",6977,"India"
"26-05-2020",6535,"India"
"27-05-2020",6387,"India"
"28-05-2020",6566,"India"
"29-05-2020",7466,"India"
"30-05-2020",7964,"India"
"31-05-2020",8380,"India"
"06-01-2020",8392,"India"
"06-02-2020",8171,"India"
"06-03-2020",8909,"India"
"06-04-2020",9304,"India"
"06-05-2020",9851,"India"
"06-06-2020",9887,"India"
"06-07-2020",9971,"India"
"06-08-2020",9983,"India"
"06-09-2020",9987,"India"
"06-10-2020",9985,"India"
"06-11-2020",9996,"India"
"06-12-2020",10956,"India"
"13-06-2020",11458,"India"
"14-06-2020",11929,"India"
"15-06-2020",11502,"India"
"16-06-2020",10667,"India"
"17-06-2020",10974,"India"
"18-06-2020",12881,"India"
"05-04-2023",NULL,"India"
"19-06-2020",13586,"India"
"20-06-2020",14516,"India"
"21-06-2020",15413,"India"
"22-06-2020",14821,"India"
"23-06-2020",14933,"India"
"24-06-2020",15968,"India"
"25-06-2020",16922,"India"
"26-06-2020",17296,"India"
"27-06-2020",18552,"India"
"28-06-2020",19906,"India"
"29-06-2020",19459,"India"
"30-06-2020",18522,"India"
"07-01-2020",18653,"India"
"07-02-2020",19148,"India"
"07-03-2020",20903,"India"
"07-04-2020",22771,"India"
"07-05-2020",24850,"India"
"07-06-2020",24248,"India"
"07-07-2020",22252,"India"
"07-08-2020",22752,"India"
"07-09-2020",24879,"India"
"07-10-2020",26506,"India"
"07-11-2020",27114,"India"
"07-12-2020",28637,"India"
"13-07-2020",28701,"India"
"14-07-2020",28498,"India"
"15-07-2020",29429,"India"
"16-07-2020",32695,"India"
"17-07-2020",34956,"India"
"18-07-2020",34884,"India"
"19-07-2020",38902,"India"
"20-07-2020",40425,"India"
"21-07-2020",37148,"India"
"22-07-2020",37724,"India"
"23-07-2020",45720,"India"
"24-07-2020",49310,"India"
"25-07-2020",48916,"India"
"26-07-2020",48661,"India"
"27-07-2020",49931,"India"
"28-07-2020",47703,"India"
"29-07-2020",48513,"India"
"30-07-2020",52123,"India"
"31-07-2020",55078,"India"
"08-01-2020",57118,"India"
"08-02-2020",54735,"India"
"08-03-2020",52972,"India"
"08-04-2020",52050,"India"
"08-05-2020",52509,"India"
"08-06-2020",56282,"India"
"08-07-2020",62538,"India"
"08-08-2020",61537,"India"
"08-09-2020",64399,"India"
"08-10-2020",62064,"India"
"08-11-2020",53601,"India"
"08-12-2020",60963,"India"
"13-08-2020",66999,"India"
"14-08-2020",64553,"India"
"15-08-2020",65002,"India"
"16-08-2020",63490,"India"
"17-08-2020",57981,"India"
"18-08-2020",55079,"India"
"19-08-2020",64531,"India"
"20-08-2020",69652,"India"
"21-08-2020",68898,"India"
"22-08-2020",69878,"India"
"05-05-2023",NULL,"India"
"23-08-2020",69239,"India"
"24-08-2020",61408,"India"
"25-08-2020",60975,"India"
"26-08-2020",67151,"India"
"27-08-2020",75760,"India"
"28-08-2020",77266,"India"
"29-08-2020",76472,"India"
"30-08-2020",78761,"India"
"31-08-2020",78512,"India"
"09-01-2020",69921,"India"
"09-02-2020",78357,"India"
"09-03-2020",83883,"India"
"09-04-2020",83341,"India"
"09-05-2020",86432,"India"
"09-06-2020",90632,"India"
"09-07-2020",90802,"India"
"09-08-2020",75809,"India"
"09-09-2020",89706,"India"
"09-10-2020",95735,"India"
"09-11-2020",96551,"India"
"09-12-2020",97570,"India"
"13-09-2020",94372,"India"
"14-09-2020",92071,"India"
"15-09-2020",83809,"India"
"16-09-2020",90123,"India"
"17-09-2020",97894,"India"
"18-09-2020",96424,"India"
"19-09-2020",93337,"India"
"20-09-2020",92605,"India"
"21-09-2020",86961,"India"
"22-09-2020",75083,"India"
"23-09-2020",83347,"India"
"24-09-2020",86508,"India"
"25-09-2020",86052,"India"
"26-09-2020",85362,"India"
"27-09-2020",88600,"India"
"28-09-2020",82170,"India"
"29-09-2020",70589,"India"
"30-09-2020",80472,"India"
"10-01-2020",86821,"India"
"10-02-2020",81484,"India"
"10-03-2020",79476,"India"
"10-04-2020",75829,"India"
"10-05-2020",74442,"India"
"10-06-2020",61267,"India"
"10-07-2020",72049,"India"
"10-08-2020",78524,"India"
"10-09-2020",70496,"India"
"10-10-2020",73272,"India"
"10-11-2020",74383,"India"
"10-12-2020",66732,"India"
"13-10-2020",55342,"India"
"14-10-2020",63509,"India"
"15-10-2020",67708,"India"
"16-10-2020",63371,"India"
"17-10-2020",62212,"India"
"18-10-2020",61871,"India"
"19-10-2020",55722,"India"
"20-10-2020",46790,"India"
"21-10-2020",54044,"India"
"22-10-2020",55839,"India"
"23-10-2020",54366,"India"
"24-10-2020",53370,"India"
"25-10-2020",50129,"India"
"26-10-2020",45148,"India"
"05-06-2023",NULL,"India"
"27-10-2020",36470,"India"
"28-10-2020",43893,"India"
"29-10-2020",49881,"India"
"30-10-2020",48648,"India"
"31-10-2020",48268,"India"
"11-01-2020",46963,"India"
"11-02-2020",45231,"India"
"11-03-2020",38310,"India"
"11-04-2020",46253,"India"
"11-05-2020",50210,"India"
"11-06-2020",47638,"India"
"11-07-2020",50356,"India"
"11-08-2020",45674,"India"
"11-09-2020",45903,"India"
"11-10-2020",38073,"India"
"11-11-2020",44281,"India"
"11-12-2020",47905,"India"
"13-11-2020",44879,"India"
"14-11-2020",44684,"India"
"15-11-2020",41100,"India"
