"date","new_cases","hosp_patients","icu_patients","location"
"27-01-2020",0,NULL,NULL,"India"
"28-01-2020",0,NULL,NULL,"India"
"29-01-2020",0,NULL,NULL,"India"
"30-01-2020",1,NULL,NULL,"India"
"31-01-2020",4,NULL,NULL,"India"
"02-01-2020",0,NULL,NULL,"India"
"01-03-2020",0,NULL,NULL,"India"
"01-04-2020",0,NULL,NULL,"India"
"01-05-2020",0,NULL,NULL,"India"
"01-06-2020",0,NULL,NULL,"India"
"01-07-2020",0,NULL,NULL,"India"
"01-08-2020",0,NULL,NULL,"India"
"01-09-2020",0,NULL,NULL,"India"
"01-10-2020",0,NULL,NULL,"India"
"01-11-2020",0,NULL,NULL,"India"
"01-12-2020",0,NULL,NULL,"India"
"13-01-2020",0,NULL,NULL,"India"
"14-01-2020",0,NULL,NULL,"India"
"15-01-2020",0,NULL,NULL,"India"
"16-01-2020",0,NULL,NULL,"India"
"17-01-2020",0,NULL,NULL,"India"
"18-01-2020",0,NULL,NULL,"India"
"19-01-2020",0,NULL,NULL,"India"
"20-01-2020",0,NULL,NULL,"India"
"21-01-2020",0,NULL,NULL,"India"
"22-01-2020",0,NULL,NULL,"India"
"23-01-2020",0,NULL,NULL,"India"
"24-01-2020",0,NULL,NULL,"India"
"25-01-2020",0,NULL,NULL,"India"
"26-01-2020",0,NULL,NULL,"India"
"02-02-2020",NULL,NULL,NULL,"India"
"02-03-2020",1,NULL,NULL,"India"
"02-04-2020",4,NULL,NULL,"India"
"02-05-2020",0,NULL,NULL,"India"
"02-06-2020",0,NULL,NULL,"India"
"02-07-2020",0,NULL,NULL,"India"
"02-08-2020",0,NULL,NULL,"India"
"02-09-2020",0,NULL,NULL,"India"
"02-10-2020",0,NULL,NULL,"India"
"02-11-2020",0,NULL,NULL,"India"
"02-12-2020",0,NULL,NULL,"India"
"13-02-2020",0,NULL,NULL,"India"
"14-02-2020",0,NULL,NULL,"India"
"15-02-2020",0,NULL,NULL,"India"
"16-02-2020",0,NULL,NULL,"India"
"17-02-2020",0,NULL,NULL,"India"
"18-02-2020",0,NULL,NULL,"India"
"19-02-2020",0,NULL,NULL,"India"
"20-02-2020",0,NULL,NULL,"India"
"21-02-2020",0,NULL,NULL,"India"
"22-02-2020",0,NULL,NULL,"India"
"23-02-2020",0,NULL,NULL,"India"
"24-02-2020",0,NULL,NULL,"India"
"25-02-2020",0,NULL,NULL,"India"
"26-02-2020",0,NULL,NULL,"India"
"27-02-2020",0,NULL,NULL,"India"
"28-02-2020",0,NULL,NULL,"India"
"29-02-2020",0,NULL,NULL,"India"
"03-01-2020",0,NULL,NULL,"India"
"03-02-2020",NULL,NULL,NULL,"India"
"03-03-2020",4,NULL,NULL,"India"
"03-04-2020",19,NULL,NULL,"India"
"03-05-2020",1,NULL,NULL,"India"
"03-06-2020",2,NULL,NULL,"India"
"03-07-2020",3,NULL,NULL,"India"
"03-08-2020",5,NULL,NULL,"India"
"03-09-2020",5,NULL,NULL,"India"
"03-10-2020",6,NULL,NULL,"India"
"03-11-2020",10,NULL,NULL,"India"
"03-12-2020",13,NULL,NULL,"India"
"13-03-2020",8,NULL,NULL,"India"
"14-03-2020",3,NULL,NULL,"India"
"15-03-2020",23,NULL,NULL,"India"
"16-03-2020",7,NULL,NULL,"India"
"17-03-2020",23,NULL,NULL,"India"
"18-03-2020",14,NULL,NULL,"India"
"19-03-2020",22,NULL,NULL,"India"
"20-03-2020",50,NULL,NULL,"India"
"21-03-2020",60,NULL,NULL,"India"
"22-03-2020",77,NULL,NULL,"India"
"23-03-2020",74,NULL,NULL,"India"
"24-03-2020",85,NULL,NULL,"India"
"25-03-2020",87,NULL,NULL,"India"
"26-03-2020",43,NULL,NULL,"India"
"27-03-2020",75,NULL,NULL,"India"
"28-03-2020",185,NULL,NULL,"India"
"29-03-2020",70,NULL,NULL,"India"
"30-03-2020",92,NULL,NULL,"India"
"31-03-2020",180,NULL,NULL,"India"
"04-01-2020",386,NULL,NULL,"India"
"04-02-2020",328,NULL,NULL,"India"
"04-03-2020",336,NULL,NULL,"India"
"04-04-2020",601,NULL,NULL,"India"
"04-05-2020",472,NULL,NULL,"India"
"04-06-2020",693,NULL,NULL,"India"
"04-07-2020",354,NULL,NULL,"India"
"04-08-2020",853,NULL,NULL,"India"
"04-09-2020",591,NULL,NULL,"India"
"04-10-2020",547,NULL,NULL,"India"
"04-11-2020",1035,NULL,NULL,"India"
"04-12-2020",909,NULL,NULL,"India"
"13-04-2020",796,NULL,NULL,"India"
"14-04-2020",1211,NULL,NULL,"India"
"15-04-2020",1076,NULL,NULL,"India"
"16-04-2020",941,NULL,NULL,"India"
"17-04-2020",1007,NULL,NULL,"India"
"18-04-2020",991,NULL,NULL,"India"
"19-04-2020",1334,NULL,NULL,"India"
"20-04-2020",1553,NULL,NULL,"India"
"21-04-2020",1336,NULL,NULL,"India"
"22-04-2020",1383,NULL,NULL,"India"
"23-04-2020",1409,NULL,NULL,"India"
"24-04-2020",1684,NULL,NULL,"India"
"25-04-2020",1429,NULL,NULL,"India"
"26-04-2020",1990,NULL,NULL,"India"
"27-04-2020",1396,NULL,NULL,"India"
"28-04-2020",1543,NULL,NULL,"India"
"29-04-2020",1897,NULL,NULL,"India"
"30-04-2020",1718,NULL,NULL,"India"
"05-01-2020",1993,NULL,NULL,"India"
"05-02-2020",2293,NULL,NULL,"India"
"05-03-2020",2644,NULL,NULL,"India"
"05-04-2020",2553,NULL,NULL,"India"
"05-05-2020",3900,NULL,NULL,"India"
"05-06-2020",2958,NULL,NULL,"India"
"05-07-2020",3561,NULL,NULL,"India"
"05-08-2020",3390,NULL,NULL,"India"
"05-09-2020",3320,NULL,NULL,"India"
"05-10-2020",3277,NULL,NULL,"India"
"05-11-2020",4213,NULL,NULL,"India"
"05-12-2020",3604,NULL,NULL,"India"
"13-05-2020",3525,NULL,NULL,"India"
"14-05-2020",3722,NULL,NULL,"India"
"15-05-2020",3967,NULL,NULL,"India"
"16-05-2020",3970,NULL,NULL,"India"
"17-05-2020",4987,NULL,NULL,"India"
"18-05-2020",5242,NULL,NULL,"India"
"19-05-2020",4970,NULL,NULL,"India"
"20-05-2020",5611,NULL,NULL,"India"
"21-05-2020",5609,NULL,NULL,"India"
"22-05-2020",6088,NULL,NULL,"India"
"23-05-2020",6654,NULL,NULL,"India"
"24-05-2020",6767,NULL,NULL,"India"
"25-05-2020",6977,NULL,NULL,"India"
"26-05-2020",6535,NULL,NULL,"India"
"27-05-2020",6387,NULL,NULL,"India"
"28-05-2020",6566,NULL,NULL,"India"
"29-05-2020",7466,NULL,NULL,"India"
"30-05-2020",7964,NULL,NULL,"India"
"31-05-2020",8380,NULL,NULL,"India"
"06-01-2020",8392,NULL,NULL,"India"
"06-02-2020",8171,NULL,NULL,"India"
"06-03-2020",8909,NULL,NULL,"India"
"06-04-2020",9304,NULL,NULL,"India"
"06-05-2020",9851,NULL,NULL,"India"
"06-06-2020",9887,NULL,NULL,"India"
"06-07-2020",9971,NULL,NULL,"India"
"06-08-2020",9983,NULL,NULL,"India"
"06-09-2020",9987,NULL,NULL,"India"
"06-10-2020",9985,NULL,NULL,"India"
"06-11-2020",9996,NULL,NULL,"India"
"06-12-2020",10956,NULL,NULL,"India"
"13-06-2020",11458,NULL,NULL,"India"
"14-06-2020",11929,NULL,NULL,"India"
"15-06-2020",11502,NULL,NULL,"India"
"16-06-2020",10667,NULL,NULL,"India"
"17-06-2020",10974,NULL,NULL,"India"
"18-06-2020",12881,NULL,NULL,"India"
"05-04-2023",NULL,NULL,NULL,"India"
"19-06-2020",13586,NULL,NULL,"India"
"20-06-2020",14516,NULL,NULL,"India"
"21-06-2020",15413,NULL,NULL,"India"
"22-06-2020",14821,NULL,NULL,"India"
"23-06-2020",14933,NULL,NULL,"India"
"24-06-2020",15968,NULL,NULL,"India"
"25-06-2020",16922,NULL,NULL,"India"
"26-06-2020",17296,NULL,NULL,"India"
"27-06-2020",18552,NULL,NULL,"India"
"28-06-2020",19906,NULL,NULL,"India"
"29-06-2020",19459,NULL,NULL,"India"
"30-06-2020",18522,NULL,NULL,"India"
"07-01-2020",18653,NULL,NULL,"India"
"07-02-2020",19148,NULL,NULL,"India"
"07-03-2020",20903,NULL,NULL,"India"
"07-04-2020",22771,NULL,NULL,"India"
"07-05-2020",24850,NULL,NULL,"India"
"07-06-2020",24248,NULL,NULL,"India"
"07-07-2020",22252,NULL,NULL,"India"
"07-08-2020",22752,NULL,NULL,"India"
"07-09-2020",24879,NULL,NULL,"India"
"07-10-2020",26506,NULL,NULL,"India"
"07-11-2020",27114,NULL,NULL,"India"
"07-12-2020",28637,NULL,NULL,"India"
"13-07-2020",28701,NULL,NULL,"India"
"14-07-2020",28498,NULL,NULL,"India"
"15-07-2020",29429,NULL,NULL,"India"
"16-07-2020",32695,NULL,NULL,"India"
"17-07-2020",34956,NULL,NULL,"India"
"18-07-2020",34884,NULL,NULL,"India"
"19-07-2020",38902,NULL,NULL,"India"
"20-07-2020",40425,NULL,NULL,"India"
"21-07-2020",37148,NULL,NULL,"India"
"22-07-2020",37724,NULL,NULL,"India"
"23-07-2020",45720,NULL,NULL,"India"
"24-07-2020",49310,NULL,NULL,"India"
"25-07-2020",48916,NULL,NULL,"India"
"26-07-2020",48661,NULL,NULL,"India"
"27-07-2020",49931,NULL,NULL,"India"
"28-07-2020",47703,NULL,NULL,"India"
"29-07-2020",48513,NULL,NULL,"India"
"30-07-2020",52123,NULL,NULL,"India"
"31-07-2020",55078,NULL,NULL,"India"
"08-01-2020",57118,NULL,NULL,"India"
"08-02-2020",54735,NULL,NULL,"India"
"08-03-2020",52972,NULL,NULL,"India"
"08-04-2020",52050,NULL,NULL,"India"
"08-05-2020",52509,NULL,NULL,"India"
"08-06-2020",56282,NULL,NULL,"India"
"08-07-2020",62538,NULL,NULL,"India"
"08-08-2020",61537,NULL,NULL,"India"
"08-09-2020",64399,NULL,NULL,"India"
"08-10-2020",62064,NULL,NULL,"India"
"08-11-2020",53601,NULL,NULL,"India"
"08-12-2020",60963,NULL,NULL,"India"
"13-08-2020",66999,NULL,NULL,"India"
"14-08-2020",64553,NULL,NULL,"India"
"15-08-2020",65002,NULL,NULL,"India"
"16-08-2020",63490,NULL,NULL,"India"
"17-08-2020",57981,NULL,NULL,"India"
"18-08-2020",55079,NULL,NULL,"India"
"19-08-2020",64531,NULL,NULL,"India"
"20-08-2020",69652,NULL,NULL,"India"
"21-08-2020",68898,NULL,NULL,"India"
"22-08-2020",69878,NULL,NULL,"India"
"05-05-2023",NULL,NULL,NULL,"India"
"23-08-2020",69239,NULL,NULL,"India"
