"location","percentage"
"Wales",NULL
"Taiwan",NULL
"Scotland",NULL
"Hong Kong",NULL
"England",NULL
"Northern Ireland",NULL
"Northern Cyprus",NULL
"North Korea",NULL
"Macao",NULL
"Turkmenistan",NULL
"Western Sahara",NULL
"Cyprus",73.4871490959334
"San Marino",71.62956366874444
"Austria",67.8520231907027
"Faeroe Islands",65.24841387879586
"Brunei",64.15361178792077
"Slovenia",63.3766274200495
"Gibraltar",62.8882700370291
"Martinique",62.55578049152136
"South Korea",60.16824054929337
"Andorra",60.085417632103
"Jersey",59.92183833351385
"Saint Pierre and Miquelon",58.21580288870008
"Denmark",58.00337931396764
"Greece",57.95435943399752
"France",57.408592747703246
"Iceland",56.09796649530843
"Guernsey",55.78171138025233
"Liechtenstein",54.539448608817175
"Portugal",54.34423826560919
"Latvia",52.82818938602245
"Guadeloupe",51.20577518811811
"Israel",51.03516774261827
"Reunion",50.7765419449686
"Falkland Islands",50.59194948697711
"Switzerland",50.368361155823294
"Saint Barthelemy",49.89994542477715
"Luxembourg",49.406810675091606
"Georgia",49.14524013956898
"Netherlands",49.022786355287685
"Lithuania",47.94491607086105
"Seychelles",47.54468661035143
"Bahrain",47.31670240593056
"Estonia",46.61713160149133
"Montenegro",46.13304161178283
"Germany",46.06422058624558
"Monaco",45.89898879175687
"Cayman Islands",45.79610605046419
"Isle of Man",44.96179052215676
"Czechia",44.21915782271567
"Bonaire Sint Eustatius and Saba",43.93390507171374
"Italy",43.68138764478262
"New Zealand",43.419759245820245
"Australia",42.82566915519908
"Nauru",42.49468127019148
"Singapore",42.018587119227135
"Cook Islands",41.4631282292156
"Aruba",41.4375487276792
"Belgium",41.124370845620724
"European Union",40.84607840358423
"Saint Helena",40.10368450286984
"Marshall Islands",38.662755752169836
"Saint Martin (French part)",38.659793814432994
"Niue",38.26844262295082
"Barbados",38.156409109307425
"Serbia",36.889597058711814
"United Kingdom",36.41252174378811
"Maldives",35.59291940786334
"Puerto Rico",34.33830031373639
"Ireland",34.04868061765743
"High income",33.642214573104546
"Europe",33.43612325178607
"Palau",33.17297058172971
"Slovakia",33.0731794618722
"French Guiana",32.19018412965249
"Montserrat",31.792431452526625
"Croatia",31.582431449688997
"Oceania",30.978776993911477
"United States",30.526012580170303
"Uruguay",30.32295818973728
"Guam",29.79282001129332
"Mongolia",29.660369829915666
"Wallis and Futuna",29.553294239392898
"Bermuda",29.37374429579329
"Spain",29.069490476513288
"Northern Mariana Islands",27.915842982208417
"New Caledonia",27.610110394917903
"Norway",27.29358794212491
"Japan",27.204741918174317
"Chile",26.953576603969776
"Finland",26.595755624920475
"Sweden",25.652028385827407
"French Polynesia",25.625220377940007
"United States Virgin Islands",25.049507936348377
"Sint Maarten (Dutch part)",24.95926864590876
"Anguilla",24.589028153933363
"Tuvalu",24.51698279664755
"Curacao",23.95631182227616
"Costa Rica",23.71545827738998
"Panama",23.516246266940254
"British Virgin Islands",23.314821907315206
"Mauritius",23.170534630059148
"Micronesia (country)",22.841528140272207
"Lebanon",22.527498550023463
"Malta",22.22493076038875
"Hungary",22.08576160614746
"Argentina",22.071820451113467
"Dominica",21.6608482915968
"Greenland",21.189860870180905
"North America",20.64942394898824
