"location","percentage"
"Falkland Islands",NULL
"England",NULL
"Hong Kong",NULL
"Vatican",NULL
"Pitcairn",NULL
"Wales",NULL
"Scotland",NULL
"Saint Helena",NULL
"Western Sahara",NULL
"Tokelau",NULL
"Northern Ireland",NULL
"Taiwan",NULL
"Northern Cyprus",NULL
"Macao",NULL
"North Korea",NULL
"Turkmenistan",NULL
"Niue",NULL
"Tuvalu",NULL
"Peru",0.6464747826023621
"Bulgaria",0.5651467755241667
"Bosnia and Herzegovina",0.5052373103079297
"Hungary",0.48921955224803015
"North Macedonia",0.46202580619276024
"Georgia",0.4555888350156301
"Croatia",0.4510762187307787
"Montenegro",0.4477883275233542
"Slovenia",0.43890042800339457
"Czechia",0.40753802890988083
"Slovakia",0.3750716538007302
"San Marino",0.37102997922232117
"Moldova",0.3700588421667874
"Greece",0.3539152536954361
"Lithuania",0.3515562217233236
"Romania",0.3463455153726461
"Gibraltar",0.34580897879242284
"Latvia",0.34290580519102976
"United States",0.3322780686631053
"United Kingdom",0.33196494164861373
"Chile",0.32900361441308945
"Brazil",0.32580120938443324
"Italy",0.3213857124505602
"Armenia",0.31458687589732964
"South America",0.3095399202922835
"Poland",0.29995877276103877
"Martinique",0.2993099545048869
"Belgium",0.2937304922141301
"Paraguay",0.2931831236833121
"Argentina",0.28668659884732967
"Trinidad and Tobago",0.2865366942665882
"Ukraine",0.28242588033412336
"Europe",0.2761461402143769
"Russia",0.2752794435386843
"Colombia",0.27511455250785616
"European Union",0.2729478514800837
"Aruba",0.2695873528776337
"North America",0.2661807478961303
"Serbia",0.26225535530790955
"Mexico",0.2618801651272131
"Portugal",0.2587417973008484
"Bermuda",0.25698132602364226
"Guadeloupe",0.2569726249614668
"Spain",0.2538235330234057
"Austria",0.25025680630389424
"Guam",0.24158385870545981
"France",0.24017223836137613
"Tunisia",0.2378336363951261
"High income",0.229584524642895
"Sweden",0.22816573799956755
"Saint Lucia",0.22738391745241057
"Suriname",0.22716755710739978
"Estonia",0.22630883577263236
"Uruguay",0.22277109123652125
"Liechtenstein",0.22106466776775505
"French Polynesia",0.21188930824180846
"Barbados",0.20877271468439104
"Sint Maarten (Dutch part)",0.20818247646632876
"Germany",0.20756187129542292
"Bahamas",0.2058591815877987
"British Virgin Islands",0.20426401123452062
"Ecuador",0.20009441696634445
"Andorra",0.19914081384717505
"Lebanon",0.19855206362992517
"Panama",0.19555040600356305
"Luxembourg",0.1902405956754236
"Grenada",0.18970340908185146
"Monaco",0.18360691677399907
"Bolivia",0.18305621168127195
"Montserrat",0.1812825742125538
"Puerto Rico",0.181127114277035
"Costa Rica",0.18049210590723197
"Kosovo",0.17989860362546747
"Ireland",0.176165831990871
"South Africa",0.1712946183286427
"Belize",0.16975708452076935
"Finland",0.16799184947150608
"Iran",0.16494304135914745
"Seychelles",0.16054510664115368
"Guyana",0.1604991548445891
"Switzerland",0.1601172293804304
"Namibia",0.15932846751724955
"Curacao",0.15744901215129753
"Malta",0.15657434093453318
"Antigua and Barbuda",0.1556967964850915
"Bonaire Sint Eustatius and Saba",0.15155995859825522
"Cyprus",0.15111489084348673
"Denmark",0.1454543229055368
"Jersey",0.1453121051301491
"Saint Martin (French part)",0.1445813427206437
"Isle of Man",0.13722289256393877
"French Guiana",0.13560190170996297
"Canada",0.13554000995674662
"Israel",0.13221504921155677
"Netherlands",0.13090397300845708
"United States Virgin Islands",0.13068084721398487
"Albania",0.12679791634855775
"Jordan",0.1251298636570049
"Jamaica",0.1250626905030873
"Saint Vincent and the Grenadines",0.11927779220654296
"Turkey",0.11883936827359262
"Eswatini",0.11858398242460555
"Guatemala",0.11314221756504768
"Malaysia",0.1090805715892668
"Palestine",0.1087222356400174
"New Caledonia",0.10829117220020762
"Honduras",0.10650964481640601
"Botswana",0.10629966163555488
"Guernsey",0.10579671240663834
"Upper middle income",0.10518763985243722
"Bahrain",0.10433102822439592
"Dominica",0.1017070287803403
"Oman",0.10112973362760308
"Norway",0.10001243944969052
"Azerbaijan",0.09887934807982716
"Kazakhstan",0.09831942450968395
"Saint Kitts and Nevis",0.09647448669281265
"Fiji",0.09496982583846095
"Reunion",0.09455250281809577
"Libya",0.0944902371342375
"World",0.08679009215766285
"Turks and Caicos Islands",0.08310370467567686
"Northern Mariana Islands",0.08270464356315811
"Mauritius",0.08049385984218278
"Sri Lanka",0.0771476927375453
"Australia",0.07685634293079416
"American Samoa",0.07675809910825149
"Cuba",0.07607785734786346
"Anguilla",0.07558102916168041
"Belarus",0.07465162922618625
"Iceland",0.06972322561094976
"Cape Verde",0.06962684730309764
"El Salvador",0.06675722291846481
"South Korea",0.0665569086561383
"Mongolia",0.06285360671121151
"Wallis and Futuna",0.060365643325284574
"Kuwait",0.0602030600020708
"Japan",0.06013794276764071
"Maldives",0.05975586008346729
"Indonesia",0.058557609069231985
"Oceania",0.058156445345197455
"Philippines",0.05749789752435396
"Mayotte",0.05734208694532264
"Iraq",0.05702743906413062
"Micronesia (country)",0.05605282979207904
"Cayman Islands",0.053840109426384564
"New Zealand",0.05276465786188581
"Faeroe Islands",0.05271382043413596
"Palau",0.04976775049767751
"Thailand",0.04736179844786863
"Saint Barthelemy",0.04547935237402219
"Kyrgyzstan",0.04510889703996051
"Vietnam",0.04398857623061075
"Morocco",0.043507422824981254
"Marshall Islands",0.040872262159498
"Nepal",0.03938118056202543
"Lower middle income",0.039095686477186996
"Dominican Republic",0.039042389223231895
"India",0.037508755458189894
"Greenland",0.03717208907140582
"Myanmar",0.03597683189480147
"Sao Tome and Principe",0.035181382012638915
"Brunei",0.03496643667511504
"Zimbabwe",0.03483953563053279
"Asia",0.03453970737394282
"Saint Pierre and Miquelon",0.033984706881903144
"Lesotho",0.030618095207530838
"Singapore",0.030548044694521326
"Saudi Arabia",0.02648533773021617
