"date","total_cases","total_deaths"
"27-01-2020",NULL,NULL
"29-01-2020",NULL,NULL
"02-01-2020",5,NULL
"01-03-2020",NULL,NULL
"01-04-2020",NULL,NULL
"01-05-2020",NULL,NULL
"01-06-2020",NULL,NULL
"01-07-2020",NULL,NULL
"01-08-2020",NULL,NULL
"01-09-2020",NULL,NULL
"01-10-2020",NULL,NULL
"01-11-2020",NULL,NULL
"01-12-2020",NULL,NULL
"13-01-2020",NULL,NULL
"14-01-2020",NULL,NULL
"15-01-2020",NULL,NULL
"16-01-2020",NULL,NULL
"17-01-2020",NULL,NULL
"18-01-2020",NULL,NULL
"19-01-2020",NULL,NULL
"20-01-2020",NULL,NULL
"21-01-2020",NULL,NULL
"22-01-2020",NULL,NULL
"23-01-2020",NULL,NULL
"24-01-2020",NULL,NULL
"25-01-2020",NULL,NULL
"26-01-2020",NULL,NULL
"02-02-2020",2,NULL
"02-03-2020",3,NULL
"02-04-2020",7,NULL
"02-05-2020",7,NULL
"02-06-2020",7,NULL
"02-07-2020",7,NULL
"02-08-2020",7,NULL
"02-09-2020",7,NULL
"02-10-2020",7,NULL
"02-11-2020",7,NULL
"02-12-2020",7,NULL
"13-02-2020",7,NULL
"14-02-2020",7,NULL
"15-02-2020",7,NULL
"16-02-2020",7,NULL
"17-02-2020",7,NULL
"18-02-2020",7,NULL
"19-02-2020",7,NULL
"20-02-2020",7,NULL
"21-02-2020",7,NULL
"22-02-2020",7,NULL
"23-02-2020",7,NULL
"24-02-2020",7,NULL
"25-02-2020",7,NULL
"26-02-2020",7,NULL
"27-02-2020",7,NULL
"28-02-2020",7,NULL
"29-02-2020",7,NULL
"03-01-2020",7,NULL
"03-02-2020",5,NULL
"03-03-2020",9,NULL
"03-04-2020",28,NULL
"03-05-2020",29,NULL
"03-06-2020",31,NULL
"03-07-2020",34,NULL
"03-08-2020",39,NULL
"03-09-2020",44,NULL
"03-10-2020",50,NULL
"03-11-2020",60,NULL
"03-12-2020",73,NULL
"13-03-2020",81,1
"14-03-2020",84,2
"15-03-2020",107,2
"16-03-2020",114,2
"17-03-2020",137,3
"18-03-2020",151,3
"19-03-2020",173,4
"20-03-2020",223,4
"21-03-2020",283,4
"22-03-2020",360,7
"23-03-2020",434,9
"24-03-2020",519,9
"25-03-2020",606,10
"26-03-2020",649,13
"27-03-2020",724,17
"28-03-2020",909,19
"29-03-2020",979,25
"30-03-2020",1071,29
"31-03-2020",1251,32
"04-01-2020",1637,38
"04-02-2020",1965,50
"04-03-2020",2301,56
"04-04-2020",2902,68
"04-05-2020",3374,77
"04-06-2020",4067,109
"04-07-2020",4421,114
"04-08-2020",5274,149
"04-09-2020",5865,169
"04-10-2020",6412,199
"04-11-2020",7447,239
"04-12-2020",8356,273
"13-04-2020",9152,308
"14-04-2020",10363,339
"23-08-2020",3044940,56706
"24-08-2020",3106348,57542
"25-08-2020",3167323,58390
"26-08-2020",3234474,59449
"27-08-2020",3310234,60472
"28-08-2020",3387500,61529
"29-08-2020",3463972,62550
"30-08-2020",3542733,63498
"31-08-2020",3621245,64469
"09-01-2020",3691166,65288
"09-02-2020",3769523,66333
"09-03-2020",3853406,67376
"09-04-2020",3936747,68472
"09-05-2020",4023179,69561
"09-06-2020",4113811,70626
"09-07-2020",4204613,71642
"09-08-2020",4280422,72775
"09-09-2020",4370128,73890
"09-10-2020",4465863,75062
"09-11-2020",4562414,76271
"09-12-2020",4659984,77472
"13-09-2020",4754356,78586
"14-09-2020",4846427,79722
"15-09-2020",4930236,80776
"16-09-2020",5020359,82066
"17-09-2020",5118253,83198
"18-09-2020",5214677,84372
"19-09-2020",5308014,85619
"20-09-2020",5400619,86752
"21-09-2020",5487580,87882
"22-09-2020",5562663,88935
"23-09-2020",5646010,90020
"24-09-2020",5732518,91149
"25-09-2020",5818570,92290
"26-09-2020",5903932,93379
"27-09-2020",5992532,94503
"28-09-2020",6074702,95542
"29-09-2020",6145291,96318
"30-09-2020",6225763,97497
"10-01-2020",6312584,98678
"10-02-2020",6394068,99773
"10-03-2020",6473544,100842
"10-04-2020",6549373,101782
"10-05-2020",6623815,102685
"10-06-2020",6685082,103569
"10-07-2020",6757131,104555
"10-08-2020",6835655,105526
"10-09-2020",6906151,106490
"10-10-2020",6979423,107416
"10-11-2020",7053806,108334
"10-12-2020",7120538,109150
"13-10-2020",7175880,109856
"14-10-2020",7239389,110586
"15-10-2020",7307097,111266
"16-10-2020",7370468,112161
"17-10-2020",7432680,112998
"18-10-2020",7494551,114031
"19-10-2020",7550273,114610
"20-10-2020",7597063,115197
"21-10-2020",7651107,115914
"22-10-2020",7706946,116616
"23-10-2020",7761312,117306
"24-10-2020",7814682,117956
"25-10-2020",7864811,118534
"26-10-2020",7909959,119014
"05-06-2023",NULL,NULL
"27-10-2020",7946429,119502
"28-10-2020",7990322,120010
"29-10-2020",8040203,120527
"30-10-2020",8088851,121090
"31-10-2020",8137119,121641
"11-01-2020",8184082,122111
"11-02-2020",8229313,122607
"11-03-2020",8267623,123097
"11-04-2020",8313876,123611
"11-05-2020",8364086,124315
"11-06-2020",8411724,124985
"11-07-2020",8462080,125562
"11-08-2020",8507754,126121
"11-09-2020",8553657,126611
"11-10-2020",8591730,127059
"11-11-2020",8636011,127571
"11-12-2020",8683916,128121
"13-11-2020",8728795,128668
"14-11-2020",8773479,129188
"15-11-2020",8814579,129635
"16-11-2020",8845127,130070
"17-11-2020",8874290,130519
"18-11-2020",8912907,130993
"19-11-2020",8958483,131578
"20-11-2020",9004365,132162
"21-11-2020",9050597,132726
"22-11-2020",9095806,133227
"23-11-2020",9139865,133738
"24-11-2020",9177840,134218
"25-11-2020",9222216,134699
"26-11-2020",9266705,135223
"27-11-2020",9309787,135715
"28-11-2020",9351109,136200
"29-11-2020",9392919,136696
"30-11-2020",9431691,137139
"12-01-2020",9462809,137621
"12-02-2020",9499413,138122
"12-03-2020",9534964,138648
"12-04-2020",9571559,139188
"12-05-2020",9608211,139700
"12-06-2020",9644222,140182
"12-07-2020",9677203,140573
"12-08-2020",9703770,140958
"12-09-2020",9735850,141360
"12-10-2020",9767371,141772
"12-11-2020",9796769,142186
"12-12-2020",9826775,142628
"13-12-2020",9857029,143019
"14-12-2020",9884100,143355
"15-12-2020",9906165,143709
"16-12-2020",9932547,144096
"17-12-2020",9956557,144451
"18-12-2020",9979447,144789
"19-12-2020",10004599,145136
"20-12-2020",10031223,145477
"21-12-2020",10055560,145810
"22-12-2020",10075116,146111
"23-12-2020",10099066,146444
"24-12-2020",10123778,146756
"25-12-2020",10146845,147092
"26-12-2020",10169118,147343
"27-12-2020",10187850,147622
"28-12-2020",10207871,147901
"29-12-2020",10224303,148153
"30-12-2020",10244852,148439
"05-07-2023",NULL,NULL
"17-09-2021",33381728,444248
"18-09-2021",33417390,444529
"19-09-2021",33448163,444838
"20-09-2021",33478419,445133
"21-09-2021",33504534,445385
"22-09-2021",33531498,445768
"23-09-2021",33563421,446050
"24-09-2021",33594803,446368
"25-09-2021",33624419,446658
"26-09-2021",33652745,446918
"27-09-2021",33678786,447194
"28-09-2021",33697581,447373
"29-09-2021",33716451,447751
"30-09-2021",33739980,448062
"10-01-2021",33766707,448339
"10-02-2021",33791061,448573
"10-03-2021",33813903,448817
"10-04-2021",33834702,448997
"10-05-2021",33853048,449260
"10-06-2021",33871881,449538
"10-07-2021",33894312,449856
"10-08-2021",33915569,450127
"10-09-2021",33935309,450375
"10-10-2021",33953475,450589
"10-11-2021",33971607,450782
"10-12-2021",33985920,450963
"13-10-2021",34001743,451189
"14-10-2021",34020730,451435
"15-10-2021",34037592,451814
"16-10-2021",34053573,451980
"17-10-2021",34067719,452124
"18-10-2021",34081315,452290
"19-10-2021",34094373,452454
"20-10-2021",34108996,452651
"21-10-2021",34127450,452811
"22-10-2021",34143236,453042
"23-10-2021",34159562,453708
"24-10-2021",34175468,454269
"25-10-2021",34189774,454712
"26-10-2021",34202202,455068
"27-10-2021",34215653,455653
"28-10-2021",34231809,456386
"29-10-2021",34246157,457191
"30-10-2021",34260470,457740
"31-10-2021",34273300,458186
"11-01-2021",34285814,458437
"11-02-2021",34296237,458880
"11-03-2021",34308140,459191
"11-04-2021",34321025,459652
"11-05-2021",34333754,459873
"11-06-2021",34344683,460265
"11-07-2021",34355536,460791
"11-08-2021",34366987,461057
"11-09-2021",34377113,461389
"11-10-2021",34388579,461849
"11-11-2021",34401670,462189
"11-12-2021",34414186,462690
"13-11-2021",34426036,463245
"14-11-2021",34437307,463530
"15-11-2021",34447536,463655
"16-11-2021",34456401,463852
"17-11-2021",34466598,464153
"18-11-2021",34478517,464623
"19-11-2021",34489623,465082
"20-11-2021",34499925,465349
"21-11-2021",34510413,465662
"22-11-2021",34518901,465911
"23-11-2021",34526480,466147
"24-11-2021",34535763,466584
"25-11-2021",34544882,466980
"26-11-2021",34555431,467468
"27-11-2021",34563749,467933
"28-11-2021",34572523,468554
"29-11-2021",34580832,468790
"30-11-2021",34587822,468980
"30-01-2020",1,NULL
"31-01-2020",5,NULL
"15-04-2020",11439,377
"16-04-2020",12380,414
"17-04-2020",13387,437
"18-04-2020",14378,480
"19-04-2020",15712,507
"20-04-2020",17265,543
"21-04-2020",18601,590
"22-04-2020",19984,640
"23-04-2020",21393,681
"24-04-2020",23077,718
"25-04-2020",24506,775
"26-04-2020",26496,824
"27-04-2020",27892,872
"28-04-2020",29435,934
"29-04-2020",31332,1007
"30-04-2020",33050,1074
"05-01-2020",35043,1147
"05-02-2020",37336,1218
"05-03-2020",39980,1301
"05-04-2020",42533,1373
"05-05-2020",46433,1568
"05-06-2020",49391,1694
"05-07-2020",52952,1783
"05-08-2020",56342,1886
"05-09-2020",59662,1981
"05-10-2020",62939,2109
"05-11-2020",67152,2206
"05-12-2020",70756,2293
"13-05-2020",74281,2415
"14-05-2020",78003,2549
"15-05-2020",81970,2649
"16-05-2020",85940,2752
"17-05-2020",90927,2872
"18-05-2020",96169,3029
"19-05-2020",101139,3163
"20-05-2020",106750,3303
"21-05-2020",112359,3435
"22-05-2020",118447,3583
"23-05-2020",125101,3720
"24-05-2020",131868,3867
"25-05-2020",138845,4021
"26-05-2020",145380,4167
"27-05-2020",151767,4337
"28-05-2020",158333,4531
"29-05-2020",165799,4706
"30-05-2020",173763,4971
"31-05-2020",182143,5164
"06-01-2020",190535,5394
"06-02-2020",198706,5598
"06-03-2020",207615,5815
"06-04-2020",216919,6075
"06-05-2020",226770,6348
"06-06-2020",236657,6642
"06-07-2020",246628,6929
"06-08-2020",256611,7200
"06-09-2020",266598,7471
"06-10-2020",276583,7745
"06-11-2020",286579,8102
"06-12-2020",297535,8498
"13-06-2020",308993,8884
"14-06-2020",320922,9195
"15-06-2020",332424,9520
"16-06-2020",343091,9900
"17-06-2020",354065,11903
"18-06-2020",366946,12237
"05-04-2023",NULL,NULL
"19-06-2020",380532,12573
"20-06-2020",395048,12948
"21-06-2020",410461,13254
"22-06-2020",425282,13699
"23-06-2020",440215,14011
"24-06-2020",456183,14476
"25-06-2020",473105,14894
"26-06-2020",490401,15301
"27-06-2020",508953,15685
"28-06-2020",528859,16095
"29-06-2020",548318,16475
"30-06-2020",566840,16893
"07-01-2020",585493,17400
"07-02-2020",604641,17834
"07-03-2020",625544,18213
"07-04-2020",648315,18655
"07-05-2020",673165,19268
"07-06-2020",697413,19693
"07-07-2020",719665,20160
"07-08-2020",742417,20642
"07-09-2020",767296,21129
"07-10-2020",793802,21604
"07-11-2020",820916,22123
"07-12-2020",849553,22674
"13-07-2020",878254,23174
"14-07-2020",906752,23727
"15-07-2020",936181,24309
"16-07-2020",968876,24915
"17-07-2020",1003832,25602
"18-07-2020",1038716,26273
"19-07-2020",1077618,26816
"20-07-2020",1118043,27497
"21-07-2020",1155191,28084
"22-07-2020",1192915,28732
"23-07-2020",1238635,29861
"24-07-2020",1287945,30601
"25-07-2020",1336861,31358
"26-07-2020",1385522,32063
"27-07-2020",1435453,32771
"28-07-2020",1483156,33425
"29-07-2020",1531669,34193
"30-07-2020",1583792,34968
"31-07-2020",1638870,35747
"08-01-2020",1695988,36511
"08-02-2020",1750723,37364
"08-03-2020",1803695,38135
"08-04-2020",1855745,38938
"08-05-2020",1908254,39795
"08-06-2020",1964536,40699
"08-07-2020",2027074,41585
"08-08-2020",2088611,42518
"08-09-2020",2153010,43379
"08-10-2020",2215074,44386
"08-11-2020",2268675,45257
"08-12-2020",2329638,46091
"13-08-2020",2396637,47033
"14-08-2020",2461190,48040
"15-08-2020",2526192,49036
"16-08-2020",2589682,49980
"17-08-2020",2647663,50921
"18-08-2020",2702742,51797
"19-08-2020",2767273,52889
"20-08-2020",2836925,53866
"21-08-2020",2905823,54849
"22-08-2020",2975701,55794
"05-05-2023",NULL,NULL
"31-12-2020",10266674,148738
"01-01-2021",10286709,148994
"01-02-2021",10305788,149218
"01-03-2021",10323965,149435
"01-04-2021",10340469,149649
"01-05-2021",10356844,149850
"01-06-2021",10374932,150114
"01-07-2021",10395278,150336
"01-08-2021",10413417,150570
"01-09-2021",10431639,150798
"01-10-2021",10450284,150999
"01-11-2021",10466595,151160
"01-12-2021",10479179,151327
"13-01-2021",10495147,151529
"14-01-2021",10512093,151727
"15-01-2021",10527683,151918
"16-01-2021",10542841,152093
"17-01-2021",10557985,152274
"18-01-2021",10571773,152419
"19-01-2021",10581837,152556
"20-01-2021",10595660,152718
"21-01-2021",10610883,152869
"22-01-2021",10625428,153032
"23-01-2021",10639684,153184
"24-01-2021",10654533,153339
"25-01-2021",10667736,153470
"26-01-2021",10676838,153587
"27-01-2021",10689527,153724
"28-01-2021",10701193,153847
"29-01-2021",10720048,154010
"30-01-2021",10733131,154147
"31-01-2021",10746183,154274
"02-01-2021",10757610,154392
"02-02-2021",10766245,154486
"02-03-2021",10777284,154596
"02-04-2021",10790183,154703
"02-05-2021",10802591,154823
"02-06-2021",10814304,154918
"02-07-2021",10826363,154996
"02-08-2021",10838194,155080
"02-09-2021",10847304,155158
"02-10-2021",10858371,155252
"02-11-2021",10871294,155360
"02-12-2021",10880603,155447
"13-02-2021",10892746,155550
"14-02-2021",10904940,155642
"15-02-2021",10916589,155732
"16-02-2021",10925710,155813
"17-02-2021",10937320,155913
"18-02-2021",10950201,156014
"19-02-2021",10963394,156111
"20-02-2021",10977387,156212
"21-02-2021",10991651,156302
"22-02-2021",11005850,156385
"23-02-2021",11016434,156463
"24-02-2021",11030176,156567
"25-02-2021",11046914,156705
"26-02-2021",11063491,156825
"27-02-2021",11079979,156938
"28-02-2021",11096731,157051
"03-01-2021",11112241,157157
"03-02-2021",11124527,157248
"03-03-2021",11139516,157346
"03-04-2021",11156923,157435
"03-05-2021",11173761,157548
"05-08-2023",NULL,NULL
"03-06-2021",11192088,157656
"03-07-2021",11210799,157756
"03-08-2021",11229398,157853
"03-09-2021",11244786,157930
"03-10-2021",11262707,158063
"03-11-2021",11285561,158189
"03-12-2021",11308846,158306
"13-03-2021",11333728,158446
"14-03-2021",11359048,158607
"15-03-2021",11385339,158725
"16-03-2021",11409831,158856
"17-03-2021",11438734,159044
"18-03-2021",11474605,159216
"19-03-2021",11514331,159370
"20-03-2021",11555284,159558
"21-03-2021",11599130,159755
"22-03-2021",11646081,159967
"23-03-2021",11686796,160166
"24-03-2021",11734058,160441
"25-03-2021",11787534,160692
"26-03-2021",11846652,160949
"27-03-2021",11908910,161240
"28-03-2021",11971624,161552
"29-03-2021",12039644,161843
"30-03-2021",12095855,162114
"31-03-2021",12149335,162468
"04-01-2021",12221665,162927
"04-02-2021",12303131,163396
"04-03-2021",12392260,164110
"04-04-2021",12485509,164623
"04-05-2021",12589067,165101
"04-06-2021",12686049,165547
"04-07-2021",12801785,166177
"04-08-2021",12928574,166862
"04-09-2021",13060542,167642
"04-10-2021",13205926,168436
"04-11-2021",13358805,169275
"04-12-2021",13527717,170179
"13-04-2021",13689453,171058
"14-04-2021",13873825,172085
"15-04-2021",14074564,173123
"16-04-2021",14291917,174308
"17-04-2021",14526609,175649
"18-04-2021",14788109,177150
"19-04-2021",15061919,178769
"20-04-2021",15321089,180530
"21-04-2021",15616130,182553
"22-04-2021",15930965,184657
"23-04-2021",16263695,186920
"24-04-2021",16610481,189544
"25-04-2021",16960172,192311
"26-04-2021",17313163,195123
"27-04-2021",17636307,197894
"28-04-2021",17997267,201187
"29-04-2021",18376524,204832
"30-04-2021",18762976,208330
"05-01-2021",19164969,211853
"05-02-2021",19557457,215542
"05-03-2021",19925604,218959
"05-04-2021",20282833,222408
"05-05-2021",20665148,226188
"05-06-2021",21077410,230168
"05-07-2021",21491598,234083
"05-08-2021",21892676,238270
"05-09-2021",22296414,242362
"05-10-2021",22662575,246116
"05-11-2021",22992517,249992
"05-12-2021",23340938,254197
"13-05-2021",23703665,258317
"14-05-2021",24046809,262317
"15-05-2021",24372907,266207
"16-05-2021",24684077,270284
"17-05-2021",24965463,274390
"18-05-2021",25228996,278719
"19-05-2021",25496330,283248
"20-05-2021",25772440,287122
"21-05-2021",26031991,291331
"22-05-2021",26289290,295525
"23-05-2021",26530132,299266
"24-05-2021",26752447,303720
"25-05-2021",26948874,307231
"26-05-2021",27157795,311388
"27-05-2021",27369093,315235
"28-05-2021",27555457,318895
"29-05-2021",27729247,322512
"30-05-2021",27894800,325972
"31-05-2021",28047534,329100
"06-01-2021",28175044,331895
"06-02-2021",28307832,335102
"06-03-2021",28441986,337989
"06-04-2021",28574350,340702
"06-05-2021",28694879,344082
"06-06-2021",28809339,346759
"06-07-2021",28909975,349186
"06-08-2021",28996473,351309
"06-09-2021",29089069,353528
"06-10-2021",29183121,359676
"06-11-2021",29274823,363079
